-0.148608,-10.080292,-0.395328,-0.001076,-0.000191,-0.003311
-0.139080,-10.082181,-0.397441,-0.001955,0.000348,0.000681
-0.132594,-10.074624,-0.407868,-0.003651,0.000370,0.000902
-0.144893,-10.078960,-0.382466,-0.004310,-0.000468,-0.000329
-0.128258,-10.081646,-0.385570,-0.001757,0.001173,-0.002734
-0.134361,-10.107124,-0.445501,-0.003040,-0.001374,0.000249
-0.132441,-10.101215,-0.376155,-0.003633,-0.000129,-0.001505
-0.143438,-10.060461,-0.380334,-0.001604,0.000975,-0.000347
-0.158266,-10.091181,-0.402501,-0.001380,-0.000375,0.002439
-0.162112,-10.098811,-0.377732,0.000003,0.000759,0.000189
-0.117199,-10.078714,-0.421561,-0.002927,0.001429,-0.003230
-0.145056,-10.071769,-0.399414,-0.001044,0.000871,0.002417
-0.133327,-10.089022,-0.404338,-0.003377,0.001428,-0.001915
-0.147132,-10.061848,-0.407571,-0.002570,-0.002762,-0.002688
-0.157081,-10.068519,-0.369232,-0.002157,0.000392,-0.000813
-0.124032,-10.058967,-0.387628,-0.003646,0.001355,-0.000493
-0.121188,-10.077432,-0.354040,-0.002668,0.002390,-0.000892
-0.156052,-10.099403,-0.396122,0.000006,0.001225,-0.000031
-0.193244,-10.062615,-0.381985,-0.002954,-0.000941,-0.001068
-0.111229,-10.097936,-0.401658,-0.000087,-0.000669,-0.001611
-0.143771,-10.101660,-0.388703,-0.003944,0.001328,-0.001060
-0.100058,-10.071217,-0.365788,-0.004084,-0.000183,-0.000580
-0.110812,-10.110452,-0.373289,-0.001242,0.002300,0.000004
-0.144685,-10.087267,-0.418065,-0.001836,-0.000288,0.001966
-0.157947,-10.070426,-0.424482,-0.002722,0.000392,0.000171
-0.116764,-10.077717,-0.415447,-0.001443,0.000775,-0.000327
-0.159732,-10.054166,-0.391344,-0.001080,0.001911,-0.000151
-0.139996,-10.033778,-0.388228,-0.002573,0.000168,0.001160
-0.143352,-10.066446,-0.369187,-0.002899,-0.002590,-0.000616
-0.141132,-10.088994,-0.375680,-0.001218,-0.001492,-0.000287
-0.149648,-10.106494,-0.384043,-0.002197,-0.001118,-0.000280
-0.135964,-10.088385,-0.385095,-0.000607,-0.001069,-0.000493
-0.145671,-10.031514,-0.430348,-0.001086,-0.000459,-0.001215
-0.107695,-10.077005,-0.348283,-0.002793,0.000526,-0.001801
-0.159540,-10.075584,-0.398753,-0.001826,-0.003158,0.001939
-0.149066,-10.041976,-0.413244,-0.001690,0.004747,-0.002369
-0.175632,-10.087764,-0.383652,-0.001089,0.001936,-0.001450
-0.177771,-10.085534,-0.368297,-0.001431,-0.002935,-0.001117
-0.117763,-10.034303,-0.381868,-0.001665,-0.001860,-0.002330
-0.144788,-10.066770,-0.381498,-0.002847,-0.001728,-0.002231
-0.168866,-10.063966,-0.439347,-0.002629,0.000675,0.001218
-0.144300,-10.056808,-0.401082,-0.003246,-0.001012,0.001226
-0.125842,-10.067086,-0.326496,-0.002178,0.000931,-0.000603
-0.150164,-10.030510,-0.362970,-0.004229,-0.000600,-0.000422
-0.130063,-10.103803,-0.438213,-0.004989,-0.000107,-0.001219
-0.138822,-10.092227,-0.417587,-0.005164,0.000494,-0.000510
-0.125866,-10.061018,-0.396916,-0.000105,-0.000205,-0.002056
-0.156138,-10.088530,-0.436417,-0.001895,0.000375,-0.001608
-0.160003,-10.069398,-0.358764,-0.002072,-0.000761,-0.001952
