1716816279529665000,0.000243464,0.0308302,-0.0136049
1716816279529665000,0.000243464,0.0308302,-0.0136049
1716816279637328000,-0.00223491,0.0251013,-0.0101604
1716816279748289000,-0.00114686,0.0179572,-0.00314614
1716816279748288000,-0.00114686,0.0179572,-0.00314614
1716816279853352000,-0.00173385,0.0035321,0.00377793
1716816279966308000,0.00624728,-0.0107685,0.00688228
1716816279966308000,0.00624728,-0.0107685,0.00688228
1716816280074997000,0.0168493,-0.0119834,0.00400383
1716816280187763000,0.0132943,-0.0145051,-0.00366889
1716816280187763000,0.0132943,-0.0145051,-0.00366889
1716816280295179000,0.00663835,-0.00824336,-0.0113337
1716816280401030000,8.54138e-05,0.00157278,-0.0163122
1716816280401029000,8.54138e-05,0.00157278,-0.0163122
1716816280511478000,-0.00297518,0.00655953,-0.0194519
1716816280619308000,0.000744747,0.0158013,-0.0198306
1716816280619308000,0.000744747,0.0158013,-0.0198306
1716816280727777000,0.00712024,0.0121704,-0.0202652
1716816280835450000,0.0161785,-0.00659337,-0.0365985
1716816280835450000,0.0161785,-0.00659337,-0.0365985
1716816280944352000,0.0154946,-0.0286608,-0.0514277
1716816281053147000,0.0170619,-0.0342846,-0.0589601
1716816281053146000,0.0170619,-0.0342846,-0.0589601
1716816281164668000,0.0135498,-0.0389341,-0.0566081
1716816281325623000,0.0135498,-0.0389341,-0.0566081
1716816281546765000,0.0147491,-0.0634757,-0.0402317
1716816281546764000,0.0147491,-0.0634757,-0.0402317
1716816281654004000,0.0285312,-0.0622726,-0.0376375
1716816281768986000,0.033555,-0.0595421,-0.025037
1716816281768986000,0.033555,-0.0595421,-0.025037
1716816281877735000,0.0489861,-0.0507286,-0.0122177
1716816281987176000,0.0527477,-0.0502276,-0.00219074
1716816281987176000,0.0527477,-0.0502276,-0.00219074
1716816282095021000,0.0460014,-0.0542973,0.00875781
1716816282206497000,0.0746749,-0.0287109,0.0132899
1716816282206497000,0.0746749,-0.0287109,0.0132899
1716816282313321000,0.0593187,-0.0393315,0.0136085
1716816282419019000,0.0202989,-0.0749154,0.015527
1716816282419019000,0.0202989,-0.0749154,0.015527
1716816282529989000,0.019963,-0.0731672,0.0136452
1716816282638167000,0.0043337,-0.0766358,0.0230093
1716816282638167000,0.0043337,-0.0766358,0.0230093
1716816282751279000,-0.00448477,-0.0839848,0.0281668
1716816282862902000,-0.00987145,-0.0844738,0.0291896
1716816282862902000,-0.00987145,-0.0844738,0.0291896
1716816282974246000,-0.00872726,-0.0814436,0.0289839
1716816283088465000,-0.00469939,-0.076806,0.0231513
1716816283088465000,-0.00469939,-0.076806,0.0231513
1716816283196415000,-0.00645556,-0.084964,0.0137852
1716816283309016000,-0.0153685,-0.0952206,0.00270417
1716816283309016000,-0.0153685,-0.0952206,0.00270417
1716816283416832000,-0.0125489,-0.102276,-0.00738714
1716816283528948000,-0.0253731,-0.118247,-0.0102965
1716816283528947000,-0.0253731,-0.118247,-0.0102965
1716816283636041000,-0.021149,-0.128343,-0.0163237
1716816283744157000,-0.00336243,-0.121415,-0.0263168
1716816283744156000,-0.00336243,-0.121415,-0.0263168
1716816283851860000,0.00316952,-0.108436,-0.0316328
1716816283967280000,-0.0014099,-0.100639,-0.0351433
1716816283967280000,-0.0014099,-0.100639,-0.0351433
1716816284076457000,-0.0614868,-0.0852167,-0.0162646
1716816284187423000,-0.0247023,-0.0962262,-0.0226198
1716816284187423000,-0.0247023,-0.0962262,-0.0226198
1716816284296064000,-0.0375272,-0.0985762,-0.00819253
1716816284403083000,-0.0418615,-0.105648,0.00335717
1716816284403082000,-0.0418615,-0.105648,0.00335717
1716816284513054000,-0.0369531,-0.1072,0.005965
1716816284619905000,-0.0281223,-0.110807,0.00069516
1716816284619905000,-0.0281223,-0.110807,0.00069516
1716816284729595000,-0.0202284,-0.10735,-0.00766291
1716816284833379000,-0.0226763,-0.111885,-0.0107114
1716816284833379000,-0.0226763,-0.111885,-0.0107114
1716816284947867000,-0.0171849,-0.107058,-0.0111035
1716816285056798000,-0.0140841,-0.1003,-0.00883296
1716816285056798000,-0.0140841,-0.1003,-0.00883296
1716816285169126000,-0.0109123,-0.0858874,-0.00899059
1716816285274958000,-0.00914638,-0.0604717,-0.00950285
1716816285274958000,-0.00914638,-0.0604717,-0.00950285
1716816285385726000,0.00347203,-0.0205078,-0.0114872
1716816285492324000,0.0210413,-0.00238747,-0.00986472
1716816285492324000,0.0210413,-0.00238747,-0.00986472
1716816285598990000,0.0239185,-0.00640166,-0.00929758
1716816285708891000,0.0195784,-0.00817507,-0.0152599
