-9.07566,-0.274362,-3.07683,-4.75284e-07,0.802582,-1.17101e-07,0.596541,
-9.3834,-0.188195,-2.84003,-4.74959e-07,0.802618,-1.16662e-07,0.596494,
-9.46146,0.087625,-2.7062,-4.74633e-07,0.802653,-1.16223e-07,0.596447,
-9.15813,0.0904057,-2.88388,-4.74307e-07,0.802687,-1.15784e-07,0.5964,
-9.45869,0.33233,-2.87606,-4.7398e-07,0.802722,-1.15344e-07,0.596353,
-8.99189,0.260211,-2.50538,-4.73653e-07,0.802757,-1.14904e-07,0.596307,
-9.45051,-0.231984,-2.99794,-4.73325e-07,0.802791,-1.14464e-07,0.596261,
-9.56932,0.185813,-3.12363,-4.72998e-07,0.802825,-1.14024e-07,0.596215,
-9.32492,-0.396387,-2.47479,-4.72669e-07,0.802859,-1.13584e-07,0.596169,
-9.76439,-0.253069,-2.99072,-4.72341e-07,0.802893,-1.13143e-07,0.596123,
-9.3858,-0.093342,-2.70288,-4.72012e-07,0.802927,-1.12702e-07,0.596078,
-9.54,-0.125123,-2.81911,-4.71682e-07,0.80296,-1.12262e-07,0.596033,
-9.22065,-0.130525,-2.79951,-4.71353e-07,0.802993,-1.1182e-07,0.595988,
-9.38696,0.0234302,-2.77114,-4.71022e-07,0.803026,-1.11379e-07,0.595944,
-9.00409,0.258663,-2.59333,-4.70692e-07,0.803059,-1.10938e-07,0.595899,
-9.76832,0.106499,-3.43401,-4.70361e-07,0.803092,-1.10496e-07,0.595855,
-9.25287,0.0523818,-2.90971,-4.7003e-07,0.803125,-1.10054e-07,0.595811,
-9.26754,-0.528888,-2.90428,-4.69698e-07,0.803157,-1.09612e-07,0.595767,
-9.83706,0.13857,-3.13249,-4.69366e-07,0.803189,-1.0917e-07,0.595724,
-9.30972,-0.286265,-2.4884,-4.69033e-07,0.803221,-1.08727e-07,0.595681,
-9.27713,0.183812,-3.01762,-4.68701e-07,0.803253,-1.08284e-07,0.595638,
-9.46789,0.263273,-2.81666,-4.68367e-07,0.803285,-1.07841e-07,0.595595,
-9.38867,-0.0055934,-2.51433,-4.68034e-07,0.803316,-1.07398e-07,0.595553,
-9.69576,0.0366392,-2.77375,-4.677e-07,0.803348,-1.06955e-07,0.59551,
-9.44831,0.0331217,-3.03023,-4.67366e-07,0.803379,-1.06512e-07,0.595468,
-9.29924,0.0457171,-2.63538,-4.67031e-07,0.80341,-1.06068e-07,0.595427,
-9.53343,-0.0455339,-3.224,-4.66696e-07,0.80344,-1.05624e-07,0.595385,
-9.52613,-0.0357069,-2.62314,-4.6636e-07,0.803471,-1.0518e-07,0.595344,
-9.57619,-0.20412,-2.79624,-4.66024e-07,0.803502,-1.04736e-07,0.595303,
-9.84591,-0.249197,-2.4599,-4.65688e-07,0.803532,-1.04292e-07,0.595262,
-9.29452,0.0677056,-2.67518,-4.65352e-07,0.803562,-1.03847e-07,0.595221,
-9.66005,-0.213966,-2.86224,-4.65015e-07,0.803592,-1.03402e-07,0.595181,
-9.26824,0.111372,-2.91176,-4.64677e-07,0.803621,-1.02957e-07,0.595141,
-9.35995,-0.335863,-2.74023,-4.6434e-07,0.803651,-1.02512e-07,0.595101,
-9.32765,0.33252,-3.22352,-4.64001e-07,0.80368,-1.02067e-07,0.595061,
-9.6712,-0.03192,-2.8799,-4.63663e-07,0.80371,-1.01621e-07,0.595022,
-9.51143,-0.0390769,-2.82802,-4.63324e-07,0.803739,-1.01175e-07,0.594982,
-9.37447,0.182252,-2.69409,-4.62985e-07,0.803768,-1.00729e-07,0.594943,
-9.36489,0.436308,-3.17082,-4.62645e-07,0.803796,-1.00283e-07,0.594905,
-9.53798,0.310723,-3.04458,-4.62305e-07,0.803825,-9.98366e-08,0.594866,
-9.12091,0.239228,-3.00419,-4.61964e-07,0.803853,-9.939e-08,0.594828,
-8.86543,0.336781,-2.99012,-4.61624e-07,0.803881,-9.89432e-08,0.59479,
-9.54767,0.238702,-3.26799,-4.61282e-07,0.803909,-9.84962e-08,0.594752,
-9.49131,-0.0306814,-2.8281,-4.60941e-07,0.803937,-9.8049e-08,0.594714,
-9.37666,-0.0842218,-2.91689,-4.60599e-07,0.803965,-9.76016e-08,0.594677,
-8.92713,-0.177549,-3.05342,-4.60256e-07,0.803992,-9.7154e-08,0.59464,
-9.22244,-0.172013,-3.05535,-4.59913e-07,0.80402,-9.67062e-08,0.594603,
-9.51579,0.0962511,-3.14375,-4.5957e-07,0.804047,-9.62582e-08,0.594566,
-9.28922,0.154621,-2.85045,-4.59227e-07,0.804074,-9.581e-08,0.59453,
